Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Cazzolla Gatti, Roberto; Zannini, Piero; Piovesan, Gianluca; Alessi, Nicola; Basset, Alberto; Beierkuhnlein, Carl; Di Musciano, Michele; Field, Richard; Halley, John M; Hoffmann, Samuel; ",Analysing the distribution of strictly protected areas toward the EU2030 target,Biodiversity and Conservation,32,10,3157-3174,2023,Springer Netherlands Dordrecht
"Gigante, D; Selvaggi, A; Acosta, ATR; Adorni, M; Allegrezza, M; Angiolini, C; Armiraglio, S; Assini, S; Attorre, F; Bagella, S; ","53° Congresso della Società Italiana di scienza della vegetazione. Gestione sostenibile degli habitat: plant traits, biodiversità e servizi ecosistemici. Abstract book",Gestione sostenibile degli habitat: plant traits biodiversità servizi ecosistemici,,,42-43,2019,Autopubblicato
"Villa, S; Magoga, G; Iannella, M; Di Musciano, M; Montagna, M; Pierce, S; ","Inter-population variability in seed germination, reproductive ecology and genetic structure of a rare chasmophyte (Campanula raineri, Campanulaceae): insights for conservation purposes",,,,,2022,
"Ricci, Lorenzo; Di Musciano, Michele; Sabatini, Francesco Maria; Chiarucci, Alessandro; Zannini, Piero; Gatti, Roberto Cazzolla; Beierkuhnlein, Carl; Walentowitz, Anna; Lawrence, Alexandra; Frattaroli, Anna Rita; ",A multitaxonomic assessment of Natura 2000 effectiveness across European biogeographic regions,Conservation Biology,,,e14212,2024,
"Ricci, Lorenzo; Farda, Beatrice; Ferrara, Arianna; Cerasoli, Francesco; De Simone, Walter; Frattaroli, Anna Rita; Pirone, Gianfranco; Di Musciano, Michele; ",Short-term functional response to post-fire vegetation dynamic: A case study in a Mediterranean Pinus halepensis forest,Flora,310,,152415,2024,Urban & Fischer
"Testolin, Riccardo; Attorre, Fabio; Bruzzaniti, Vanessa; Guarino, Riccardo; Jiménez‐Alfaro, Borja; Lussu, Michele; Martellos, Stefano; Di Musciano, Michele; Pasta, Salvatore; Sabatini, Francesco Maria; ",Plant species richness hotspots and related drivers across spatial scales in small Mediterranean islands,Journal of Systematics and Evolution,62,2,242-256,2024,
"Lussu, Michele; Ancillotto, Leonardo; Labadessa, Rocco; Di Musciano, Michele; Zannini, Piero; Testolin, Riccardo; Santi, Francesco; Dolci, David; Conti, Matteo; Marignani, Michela; ",Prioritizing conservation of terrestrial orchids: A gap analysis for Italy,Biological Conservation,289,,110385,2024,Elsevier
"Di Musciano, Michele; Zannini, Piero; Ferrara, Chiara; ",Investigating elevational gradients of species richness in a Mediterranean plant hotspot,Frontiers,,,,2021,
"Cazzolla Gatti, R; Zannini, P; Piovesan, G; Alessi, N; Basset, A; Beierkuhnlein, C; Di Musciano, M; Field, R; Halley, JM; Hoffmann, S; ",BIODIVERSITY AND CONSERVATION VOL. 32 ISSN 1572-9710,,,,,,
"Kemppinen, Julia; Lembrechts, Jonas J; Van Meerbeek, Koenraad; Carnicer, Jofre; Chardon, Nathalie Isabelle; Kardol, Paul; Lenoir, Jonathan; Liu, Daijun; Maclean, Ilya; Pergl, Jan; ","Microclimate, an important part of ecology and biogeography",Global Ecology and Biogeography,33,6,e13834,2024,
"Knollová, Ilona; Chytrý, Milan; Bruelheide, Helge; Dullinger, Stefan; Jandt, Ute; Bernhardt‐Römermann, Markus; Biurrun, Idoia; de Bello, Francesco; Glaser, Michael; Hennekens, Stephan; ",ReSurveyEurope: A database of resurveyed vegetation plots in Europe,Journal of Vegetation Science,35,2,e13235,2024,
"Gatti, Roberto Cazzolla; Iaria, Jacopo; Moretti, Gloria; Amendola, Valerio; Cassola, Francesca Maura; Cerretti, Pierfilippo; Di Musciano, Michele; Francesconi, Luana; Frattaroli, Anna Rita; Livornese, Martina; ",EU2030 biodiversity strategy: Unveiling gaps in the coverage of ecoregions and threatened species within the strictly protected areas of Italy,Journal for Nature Conservation,79,,126621,2024,Urban & Fischer
"Santi, Francesco; Testolin, Riccardo; Zannini, Piero; Di Musciano, Michele; Micci, Virginia; Ricci, Lorenzo; Guarino, Riccardo; Bacchetta, Gianluigi; Fernández‐Palacios, José María; Fois, Mauro; ",MEDIS—A comprehensive spatial database on Mediterranean islands for biogeographical and evolutionary research,Global ecology and biogeography,,,e13855,2024,
"Di Cecco, Valter; Manzi, Aurelio; Zulli, Camillo; Di Musciano, Michele; D’Archivio, Angelo Antonio; Di Santo, Marco; Palmerini, Guido; Di Martino, Luciano; ",Study of Grapevine (Vitis vinifera L.) Seed Morphometry and Comparison with Archaeological Remains in Central Apennines,Seeds,3,3,311-323,2024,MDPI
